DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs HOU,L 4-1,3,1,2,1,0,0,0,1,0,0,0,.750,1.000,1.750,.667
Mar 30,vs HOU,W 5-1,4,0,2,0,0,0,1,0,0,0,0,.625,.714,1.339,.571
Mar 31,vs HOU,L 9-3,3,3,2,0,0,1,1,1,0,0,0,.667,1.000,1.667,.600
Apr 1,vs HOU,L 8-2,3,0,1,1,0,0,0,1,0,0,0,.625,.923,1.548,.538
Apr 2,@ OAK,L 3-1,5,0,1,0,0,0,0,0,0,0,0,.524,.722,1.246,.444
Apr 3,@ OAK,W 4-1,4,0,0,0,0,0,0,0,0,0,0,.440,.591,1.031,.364
Apr 4,@ OAK,L 6-2,4,0,1,0,0,0,0,0,0,0,0,.414,.538,.952,.346
Apr 5,@ OAK,W 6-3,4,0,1,1,0,0,0,0,1,0,1,.394,.533,.927,.333
Apr 6,vs TOR,L 8-5,5,1,3,0,0,0,1,0,0,0,0,.421,.543,.964,.371
Apr 7,vs TOR,W 5-1,4,0,2,0,0,0,0,0,0,0,0,.429,.538,.967,.385
Apr 8,vs TOR,L 7-4,4,0,1,0,0,0,1,1,0,0,0,.426,.512,.938,.372
Apr 9,vs LAA,L 8-3,4,2,1,0,0,1,1,1,0,0,0,.423,.553,.976,.362
Apr 10,vs LAA,L 11-1,2,0,0,0,0,0,0,2,0,0,0,.429,.531,.960,.347
Apr 11,vs LAA,L 7-2,3,0,0,0,0,0,0,1,1,0,0,.426,.500,.926,.327
Apr 13,@ HOU,L 3-2,Did not play
Apr 14,@ HOU,W 6-5,Did not play
Apr 15,@ HOU,W 3-1,Did not play
Apr 16,@ TB,L 8-4,Did not play
Apr 17,@ TB,W 7-2,Did not play
Apr 18,@ TB,L 4-2,Did not play
Apr 20,vs SEA,L 6-2,Did not play
Apr 21,vs SEA,L 9-7,Did not play
Apr 22,vs SEA,W 7-4,Did not play
Apr 23,vs OAK,L 9-4,Did not play
Apr 24,vs OAK,L 3-2,Did not play
Apr 25,vs OAK,W 4-2,Did not play
Apr 27,@ TOR,W 6-4,Did not play
Apr 28,@ TOR,W 7-4,Did not play
Apr 29,@ TOR,L 7-2,Did not play
Apr 30,@ CLE,L 7-5,Did not play
May 1,@ CLE,W 8-6,Did not play
May 2,@ CLE,L 12-4,Did not play
May 3,vs BOS,W 11-5,Did not play
May 4,vs BOS,L 5-1,Did not play
May 5,vs BOS,L 6-5,Did not play
May 6,vs BOS,L 6-1,Did not play
May 7,vs DET,W 7-6,Did not play
May 8,vs DET,L 7-4,Did not play
May 9,vs DET,W 5-4,Did not play
May 11,@ HOU,W 1-0,Did not play
May 12,@ HOU,L 6-1,Did not play
May 13,@ HOU,L 6-1,Did not play
May 15,@ SEA,L 9-8,Did not play
May 16,@ SEA,W 5-1,Did not play
May 17,@ CHW,L 4-2,Did not play
May 18,@ CHW,W 12-5,Did not play
May 19,@ CHW,L 5-3,Did not play
May 20,@ CHW,L 3-0,Did not play
May 21,vs NYY,L 10-5,Did not play
May 22,vs NYY,W 6-4,Did not play
